Product Name,Price
SONATA,₹538
FOSSIL,"₹4,947"
Titan,"₹30,995"
FOSSIL,"₹5,997"
SONATA,₹542
TIMEWEAR,₹329
Titan,"₹9,015"
EMPORIO ARMANI,"₹9,897"
PETER ENGLAND,"₹1,811"
ANALOGUE,₹299
